//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas (Hidro)
// Versão Web 2.0
// © 2001 Agência Nacional de Energia Elétrica (ANEEL)
//
// Dia XX - status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da estação: 537008
//   Ano: 1900 até 2000
//
//------------------------------------------------------------------------------

//Código;Ano;Mês;Dia 01 (mm);Dia 02 (mm);Dia 03 (mm);Dia 04 (mm);Dia 05 (mm);Dia 06 (mm);Dia 07 (mm);Dia 08 (mm);Dia 09 (mm);Dia 10 (mm);Dia 11 (mm);Dia 12 (mm);Dia 13 (mm);Dia 14 (mm);Dia 15 (mm);Dia 16 (mm);Dia 17 (mm);Dia 18 (mm);Dia 19 (mm);Dia 20 (mm);Dia 21 (mm);Dia 22 (mm);Dia 23 (mm);Dia 24 (mm);Dia 25 (mm);Dia 26 (mm);Dia 27 (mm);Dia 28 (mm);Dia 29 (mm);Dia 30 (mm);Dia 31 (mm);Dia 01 (mm) - status;Dia 02 (mm) - status;Dia 03 (mm) - status;Dia 04 (mm) - status;Dia 05 (mm) - status;Dia 06 (mm) - status;Dia 07 (mm) - status;Dia 08 (mm) - status;Dia 09 (mm) - status;Dia 10 (mm) - status;Dia 11 (mm) - status;Dia 12 (mm) - status;Dia 13 (mm) - status;Dia 14 (mm) - status;Dia 15 (mm) - status;Dia 16 (mm) - status;Dia 17 (mm) - status;Dia 18 (mm) - status;Dia 19 (mm) - status;Dia 20 (mm) - status;Dia 21 (mm) - status;Dia 22 (mm) - status;Dia 23 (mm) - status;Dia 24 (mm) - status;Dia 25 (mm) - status;Dia 26 (mm) - status;Dia 27 (mm) - status;Dia 28 (mm) - status;Dia 29 (mm) - status;Dia 30 (mm) - status;Dia 31 (mm) - status;
00537008;1910;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00537008;1910;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00537008;1910;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00537008;1910;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00537008;1910;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00537008;1910;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00537008;1910;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00537008;1910;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00537008;1910;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00537008;1910;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
